training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
32;9;167;174;37;9048;-5;5
32;10;208;245;41;12604;1;-1
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
33;1;196;206;37;13764;-5;5
33;2;134;140;27;11224;-15;15
33;3;149;176;29;11100;-13;13
33;4;220;234;39;13544;-3;3
33;5;217;223;38;10380;-4;4
33;6;158;195;29;7332;-13;13
33;7;184;199;37;8640;-5;5
33;8;177;162;32;13064;-10;10
33;9;197;229;37;10468;5;-5
33;10;205;202;41;13632;-1;1
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
34;1;206;208;39;3344;3;-3
34;2;168;167;32;2708;10;-10
34;3;190;196;35;2404;-7;7
34;4;245;217;41;8756;1;-1
34;5;196;175;34;2832;8;-8
34;6;188;181;35;3188;-7;7
34;7;221;202;41;5768;1;-1
34;8;192;169;39;4028;3;-3
34;9;181;171;36;2528;6;-6
34;10;213;205;39;6812;3;-3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
35;1;214;208;38;4844;4;-4
35;2;223;265;38;4928;-4;4
35;3;212;226;36;3232;-6;6
35;4;204;213;33;5248;-9;9
35;5;240;256;40;4756;-2;2
35;6;204;213;36;3656;-6;6
35;7;283;245;39;6412;-3;3
35;8;221;189;35;6072;-7;7
35;9;252;288;39;4988;-3;3
35;10;239;258;39;8044;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
36;1;201;204;37;9852;5;-5
36;2;196;220;37;14688;5;-5
36;3;223;240;36;19300;-6;6
36;4;219;243;40;29048;2;-2
36;5;191;164;37;13188;-5;5
36;6;184;197;33;17248;-9;9
36;7;227;230;39;18324;-3;3
36;8;208;218;38;17872;-4;4
36;9;194;210;37;40000;5;-5
36;10;235;221;38;29888;-4;4
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
37;1;179;203;34;3276;-8;8
37;2;211;237;34;5548;-8;8
37;3;223;267;38;4136;-4;4
37;4;200;217;36;4040;-6;6
37;5;250;247;37;3828;5;-5
37;6;182;173;35;2316;-7;7
37;7;204;227;38;4684;-4;4
37;8;248;264;40;3456;2;-2
37;9;225;249;37;5560;-5;5
37;10;212;209;39;4036;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
38;1;234;218;40;4064;-2;2
38;2;202;182;34;7016;-8;8
38;3;234;249;37;2444;5;-5
38;4;188;227;35;4100;7;-7
38;5;211;214;41;4956;-1;1
38;6;195;206;38;3796;4;-4
38;7;213;236;35;4432;-7;7
38;8;228;252;40;5336;-2;2
38;9;183;191;32;2464;10;-10
38;10;220;241;39;3672;-3;3
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
39;1;206;209;35;7920;7;-7
39;2;277;269;41;7532;-1;1
39;3;231;253;38;7632;-4;4
39;4;212;222;37;7312;-5;5
39;5;247;274;40;15492;2;-2
39;6;231;230;34;9332;-8;8
39;7;234;234;37;12704;-5;5
39;8;245;230;37;15824;-5;5
39;9;243;238;41;5128;-1;1
39;10;198;218;34;12412;-8;8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
40;1;198;256;37;9944;5;-5
40;2;197;260;36;32048;-6;6
40;3;237;251;41;18488;-1;1
40;4;239;269;40;26180;-2;2
40;5;206;240;37;21028;5;-5
40;6;201;204;35;27148;-7;7
40;7;197;234;35;25044;7;-7
40;8;214;247;38;19784;-4;4
40;9;198;256;36;30104;-6;6
40;10;227;215;34;11428;8;-8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
41;1;220;274;35;3384;-7;7
41;2;261;266;41;2836;1;-1
41;3;172;200;32;2632;10;-10
41;4;194;237;35;2500;7;-7
41;5;225;222;36;2760;6;-6
41;6;253;306;40;3404;2;-2
41;7;192;231;30;2056;-12;12
41;8;186;198;33;5416;9;-9
41;9;191;223;36;3612;-6;6
41;10;167;198;33;2768;-9;9
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
42;1;228;274;36;15184;-6;6
42;2;257;304;39;30696;3;-3
42;3;214;243;40;43880;0;0
42;4;198;218;33;20232;-9;9
42;5;210;276;40;25816;2;-2
42;6;166;216;33;24044;9;-9
42;7;217;247;40;32420;2;-2
42;8;220;274;41;23912;-1;1
42;9;198;210;36;42420;-6;6
42;10;240;271;41;32252;-1;1
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
43;1;227;246;39;2604;-3;3
43;2;196;227;32;2076;10;-10
43;3;257;258;38;2412;4;-4
43;4;236;218;38;2496;4;-4
43;5;240;225;36;2312;6;-6
43;6;238;252;40;2764;2;-2
43;7;250;253;38;2972;-4;4
43;8;271;254;39;3260;3;-3
43;9;226;227;33;2220;-9;9
43;10;204;254;36;2364;-6;6
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
44;1;192;214;34;9328;8;-8
44;2;172;175;30;3840;12;-12
44;3;239;236;40;7628;2;-2
44;4;195;195;34;6480;-8;8
44;5;228;245;38;5432;4;-4
44;6;259;253;39;5304;3;-3
44;7;200;225;34;13556;8;-8
44;8;214;197;32;5008;10;-10
44;9;204;208;36;4044;6;-6
44;10;188;205;34;4636;8;-8
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
45;1;267;268;40;10828;2;-2
45;2;222;231;33;2264;9;-9
45;3;211;238;34;3016;-8;8
45;4;265;295;37;5804;5;-5
45;5;224;257;39;8836;3;-3
45;6;263;274;40;7812;2;-2
45;7;240;255;37;6120;-5;5
45;8;238;256;38;6256;4;-4
45;9;273;279;41;8932;-1;1
45;10;232;245;40;5976;2;-2
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
46;1;154;162;30;26528;12;-12
46;2;236;271;41;27868;-1;1
46;3;160;174;35;28384;7;-7
46;4;225;220;41;21376;1;-1
46;5;217;221;38;19492;-4;4
46;6;218;221;39;23428;-3;3
46;7;190;229;38;42348;4;-4
46;8;205;227;35;16952;7;-7
46;9;204;240;37;27968;-5;5
46;10;158;175;30;11044;-12;12
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
47;1;227;259;37;2380;5;-5
47;2;230;297;37;2364;-5;5
47;3;219;264;36;2756;6;-6
47;4;253;317;37;2808;-5;5
47;5;212;259;33;2444;9;-9
47;6;193;208;32;2304;10;-10
47;7;262;296;37;2620;-5;5
47;8;169;202;32;2036;10;-10
47;9;204;258;35;2252;7;-7
47;10;238;241;33;2772;9;-9
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
48;1;263;283;40;5112;2;-2
48;2;265;259;41;6408;-1;1
48;3;204;222;34;6936;8;-8
48;4;195;217;32;5304;10;-10
48;5;206;220;37;3060;-5;5
48;6;249;278;35;3920;7;-7
48;7;244;247;36;3852;-6;6
48;8;206;217;33;2180;-9;9
48;9;231;237;32;2624;10;-10
48;10;250;295;41;4124;1;-1
