Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
29,-33.5,393,10,-0.46919112837315,0.034872973203659,85488.991984367
30,-32.725,372,10,-0.42546955668926,0.035309938177466,88513.200140238
31,-30.35,355,10,-0.39419751614332,0.037728601813316,91537.195670128
32,-32.175,367,10,-0.35395925176144,0.034827574513853,94553.798403025
33,-31.416666666667,324,9,-0.34443300080299,0.033128284499049,97573.81096077
34,-31.1,362,10,-0.33986711114645,0.032994185395539,100589.43251872
35,-31.944444444444,355,9,-0.34490878891945,0.033036506228149,103614.39954591
36,-30.25,358,10,-0.32507938158512,0.03493745534867,106632.72146487
37,-31,299,8,-0.29529939067364,0.03263739605248,109651.67803073
38,-31.111111111111,322,9,-0.30571579384804,0.033988059701398,112670.15548062
39,-30.666666666667,321,9,-0.31798388397694,0.037830376267433,115692.09249473
40,-29.75,64,1,-0.31833603322506,0.036371737275273,118718.38890862
41,-26.583333333333,200,6,-0.29567375910282,0.034206227421761,121740.25946045
42,-28.725,342,10,-0.28755002248287,0.034084396282211,125090.61474347
43,-32.1875,310,8,-0.27520984494686,0.034307959004771,128114.22638273
44,-30.75,248,6,-0.28520494115353,0.033417053673416,131138.29339767
45,-28.722222222222,304,9,-0.24047256863117,0.032669705805369,134158.79221582
46,-32.964285714286,281,7,-0.23651483201981,0.034113161490299,137181.63822651
47,-30.75,304,8,-0.22929638022184,0.035676180838374,140209.12533069
48,-32.027777777778,330,9,-0.22382859092951,0.033306384172756,143231.82737756
49,-31.96875,302,8,-0.22882852852345,0.035149923972203,146256.2114768
50,-31.875,311,8,-0.19476912009716,0.033764365680981,149283.37731457
51,0,26,0,-0.20900189971924,0.036285256405827,152311.60005665
52,-30.964285714286,259,7,-0.21334506094456,0.033617449524812,155335.61908579
53,-32.15625,306,8,-0.21985206311941,0.035054566949606,158679.64606357
54,0,10,0,-0.21830126535892,0.035162898614537,161709.62453771
55,0,1,0,-0.21426600271463,0.034257032785332,164731.5665195
56,-31.178571428571,258,7,-0.22991574454308,0.033552558975993,168073.77445865
57,0,8,0,-0.22385918140411,0.035624685370596,171421.55948472
58,0,32,0,-0.2307907345295,0.033521595358849,174889.82973671
59,0,30,0,-0.21952018594742,0.037359246272594,178231.51118279
60,0,13,0,-0.21459531658888,0.033596971890889,181576.5636518
61,-30.5,117,3,-0.22054652988911,0.034634251405951,184920.482651
62,-30.5,153,4,-0.21846684992313,0.035553850755794,188261.08853292
63,-26.75,41,1,-0.21431094408035,0.03240073265566,191643.86233997
64,0,2,0,-0.21656257855892,0.034314641881967,195033.02419901
65,-31.333333333333,220,6,-0.21119965481758,0.03203012568265,198387.73912501
66,-27.75,86,2,-0.19464588975906,0.03143425309821,201733.42537999
67,-35.25,57,1,-0.18309987294674,0.031151129993377,205141.69607902
68,0,20,0,-0.17650469058752,0.030899880289566,208501.50281811
69,0,29,0,-0.17109624695778,0.031047332327347,211865.68041515
70,-31.15,201,5,-0.168033218503,0.031188633478247,215208.4411881
71,-29.916666666667,312,9,-0.16163378447294,0.031242613693699,218551.90005112
72,0,21,0,-0.18294815135002,0.030757001365069,221943.50013113
73,0,9,0,-0.20314860373735,0.031849301447161,225461.31916332
74,-28.75,57,1,-0.21980968916416,0.032152000057278,228792.55967522
75,-32.428571428571,273,7,-0.23677251183987,0.033057268942706,232123.80669713
76,0,4,0,-0.24064756345749,0.032449412482325,235467.32760644
77,0,13,0,-0.24053260362148,0.032613435472827,238480.73442841
78,0,5,0,-0.26564919984341,0.034383471850306,241808.53344035
79,0,17,0,-0.25765567457676,0.03478965630359,245132.98487949
80,0,1,0,-0.23240065824986,0.033272572978283,248461.24440837
81,0,28,0,-0.24689063930511,0.036688380377833,251784.86009049
82,0,4,0,-0.25523908925056,0.036049961570418,255111.13907838
83,-32.25,282,7,-0.24346972894669,0.035403252773918,258439.50497341
84,0,13,0,-0.26288804399967,0.033645914101973,261762.70466757
85,-33,222,5,-0.27623062241077,0.033039603222162,265189.84182572
86,0,7,0,-0.298228297472,0.035824844000861,268527.62760568
87,0,26,0,-0.31707869124413,0.036494645655155,271539.21241379
88,0,26,0,-0.30207984232903,0.033548617534339,274869.65589881
89,0,2,0,-0.29758540093899,0.035752976356074,278201.52565455
